,SMILES,CID,Solubility1,Solubility2,Molecular_Weight,sol_new1,Unit,pubchem_sol_gl,smiles_canon,Lit_Sol_LogS,Lit_gram_liter,Error_gl
17,CN1CC(=O)N=C1N,588.0,80.1 mg/mL at 16 °C,"('80.1', 'mg/mL', '')",113.12,80.1,mg/mL,80.1,CN1CC(=O)N=C1N,-0.15,80.08282712953368,-0.017172870466310997
18,C1=C(NC(=O)N=C1)N,597.0,>16.7 [ug/mL] (The mean of the results at pH 7.4),"('16.7', 'ug/mL', '')",111.104,16.7,ug/mL,0.0167,Nc1ccnc(=O)[nH]1,-1.1426,8.000731478743264,7.984031478743264
19,CC(=O)C(=O)C,650.0,"greater than or equal to 100 mg/mL at 72 °F (NTP, 1992)","('100', 'mg/mL', '')",86.08999999999999,100.0,mg/mL,100.0,CC(=O)C(C)=O,0.3660386439999999,199.98220464292993,99.98220464292993
20,C(C(=O)CO)O,670.0,"In water, 9.3X10+5 mg/L at 25 dege C","('9.3', 'mg/L', '')",90.078,9.3,mg/L,0.0093,O=C(CO)CO,0.8804882270000001,684.0801079871538,684.0708079871538
21,CS(=O)C,679.0,"greater than or equal to 100 mg/mL at 68 °F (NTP, 1992)","('100', 'mg/mL', '')",78.13600000000001,100.0,mg/mL,100.0,CS(C)=O,1.1071170073333334,999.9267391326605,899.9267391326605
22,C(CO)N,700.0,"greater than or equal to 100 mg/mL at 68 °F (NTP, 1992)","('100', 'mg/mL', '')",61.084,100.0,mg/mL,100.0,NCCO,1.214050486,999.9492396029272,899.9492396029272
23,CCO,702.0,"greater than or equal to 100 mg/mL at 73 °F (NTP, 1992)","('100', 'mg/mL', '')",46.069,100.0,mg/mL,100.0,CCO,1.159145447,664.5906581599237,564.5906581599237
24,C(=O)N,713.0,"greater than or equal to 100 mg/mL at 66 °F (NTP, 1992)","('100', 'mg/mL', '')",45.041,100.0,mg/mL,100.0,NC=O,1.346200809,999.5599189335214,899.5599189335214
25,C(C(=O)O)N,750.0,"greater than or equal to 100 mg/mL at 64 °F (NTP, 1992)","('100', 'mg/mL', '')",75.06700000000001,100.0,mg/mL,100.0,NCC(=O)O,0.6541749769999999,338.55095010912663,238.55095010912663
26,C(C(C=O)O)O,751.0,17 mg/mL,"('17', 'mg/mL', '')",90.078,17.0,mg/mL,17.0,O=CC(O)CO,-0.489122763,29.207606704573774,12.207606704573774
27,C(C(=O)O)N=C(N)N,763.0,3.6 mg/mL at 15 °C,"('3.6', 'mg/mL', '')",117.10800000000002,3.6,mg/mL,3.6,NC(N)=NCC(=O)O,-1.51229148,3.5999385210762442,-6.147892375585329e-05
28,C1=CC(=C(C=C1O)CC(=O)O)O,780.0,850 mg/mL at 25 °C,"('850', 'mg/mL', '')",168.148,850.0,mg/mL,850.0,O=C(O)Cc1cc(O)ccc1O,0.703711027,849.9683083703738,-0.03169162962615246
29,CCC(C)C(C(=O)O)N,791.0,21.4 mg/mL at 25 °C,"('21.4', 'mg/mL', '')",131.17499999999995,21.4,mg/mL,21.4,CCC(C)C(N)C(=O)O,-0.5685779964,35.42199981662996,14.021999816629965
30,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,802.0,>26.3 [ug/mL] (The mean of the results at pH 7.4),"('26.3', 'ug/mL', '')",175.18699999999995,26.3,ug/mL,0.0263,O=C(O)Cc1c[nH]c2ccccc12,-2.068139318,1.4974852646229089,1.4711852646229089
31,C=C(CC(=O)O)C(=O)O,811.0,"1 G DISSOLVES IN 12 ML WATER, 5 ML ALC; VERY SLIGHTLY SOL IN BENZENE, CHLOROFORM, CARBON DISULFIDE, PETROLEUM ETHER","('12', ' M', '')",130.099,12.0, M,1561.188,C=C(CC(=O)O)C(=O)O,-0.2273443589999999,77.07785131225702,-1484.110148687743
32,C1CSSC1CCCCC(=O)O,864.0,"Yellow powder; solubility in ethanol: 50 mg/mL /Synthetic, oxidized form/","('50', 'mg/mL', '')",206.33199999999997,50.0,mg/mL,50.0,O=C(O)CCCCC1CCSS1,-2.375016604,0.8700615645177208,-49.12993843548228
33,C(C(=O)O)C(=O)O,867.0,"greater than or equal to 100 mg/mL at 72 °F (NTP, 1992)","('100', 'mg/mL', '')",104.061,100.0,mg/mL,100.0,O=C(O)CC(=O)O,0.865120358,762.7959052293969,662.7959052293969
34,C(C(C(=O)O)O)(C(=O)O)O,875.0,"1 G DISSOLVES IN 162 ML WATER, IN 16 ML BOILING WATER, IN 8820 ML ALCOHOL; READILY SOL IN DILUTED MINERAL ACIDS; SOL IN SOLN OF ALKALIES OR BORAX; IN WATER APPROX 0.4% @ 10 °C TO 6% @ 100 °C","('162', ' M', '')",150.08599999999998,162.0, M,24313.932,O=C(O)C(O)C(O)C(=O)O,0.6615971335,688.5529078411885,-23625.37909215881
35,CO,887.0,"greater than or equal to 100 mg/mL at 70 °F (NTP, 1992)","('100', 'mg/mL', '')",32.042,100.0,mg/mL,100.0,CO,1.53207689825,1090.9290694379497,990.9290694379497
36,N#N,947.0,"In water, 1.81X10+4 mg/L at 21 °C","('1.81', 'mg/L', '')",28.014,1.81,mg/L,0.0018,N#N,-0.1901,18.083193283634937,18.081393283634938
37,O=O,977.0,39mg/L,"('39', 'mg/L', '')",31.998,39.0,mg/L,0.039,O=O,0.0691,37.51654481602432,37.47754481602432
38,C(COP(=O)(O)O)N,1015.0,72 mg/mL,"('72', 'mg/mL', '')",141.06299999999996,72.0,mg/mL,72.0,NCCOP(=O)(O)O,0.850586884,999.9999995121257,927.9999995121257
39,C1=CC=NC(=C1)C(=O)O,1018.0,>18.5 [ug/mL] (The mean of the results at pH 7.4),"('18.5', 'ug/mL', '')",123.11099999999996,18.5,ug/mL,0.0185,O=C(O)c1ccccn1,0.890988951,957.8242097832962,957.8057097832962
40,CC(CO)O,1030.0,"greater than or equal to 100 mg/mL at 70 °F (NTP, 1992)","('100', 'mg/mL', '')",76.095,100.0,mg/mL,100.0,CC(O)CO,1.1188076715,1000.3772181567871,900.3772181567871
41,CCC(=O)O,1032.0,"greater than or equal to 100 mg/mL at 72 °F (NTP, 1992)","('100', 'mg/mL', '')",74.079,100.0,mg/mL,100.0,CCC(=O)O,1.130149513,999.6422978235536,899.6422978235536
42,C1=C2C(=NC=N1)N=CN2,1044.0,500.0 mg/mL,"('500.0', 'mg/mL', '')",120.115,500.0,mg/mL,500.0,c1ncc2[nH]cnc2n1,0.6196954185,500.37161383834456,0.3716138383445582
43,C1=CC(=C(C(=C1)O)O)O,1057.0,"greater than or equal to 100 mg/mL at 77 °F (NTP, 1992)","('100', 'mg/mL', '')",126.11099999999996,100.0,mg/mL,100.0,Oc1cccc(O)c1O,0.6041711413333334,506.90212376066955,406.90212376066955
44,CNCC(=O)O,1088.0,5.6 [ug/mL] (The mean of the results at pH 7.4),"('5.6', 'ug/mL', '')",89.09399999999998,5.6,ug/mL,0.0056,CNCC(=O)O,0.528646148,300.95017876487174,300.9445787648717
45,C(CS(=O)(=O)O)N,1123.0,1.2 [ug/mL] (The mean of the results at pH 7.4),"('1.2', 'ug/mL', '')",125.149,1.2,ug/mL,0.0012,NCCS(=O)(=O)O,-0.1668864983333333,85.21987354028474,85.21867354028474
46,C(C(=O)O)S,1133.0,"greater than or equal to 100 mg/mL at 64 °F (NTP, 1992)","('100', 'mg/mL', '')",92.119,100.0,mg/mL,100.0,O=C(O)CS,1.035846609,1000.4510026884112,900.4510026884112
47,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1318.0,>27 [ug/mL] (The mean of the results at pH 7.4),"('27', 'ug/mL', '')",180.21,27.0,ug/mL,0.027,c1cnc2c(c1)ccc1cccnc12,-1.8273422103333332,2.6818635415907233,2.654863541590723
48,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,1329.0,3.1 [ug/mL] (The mean of the results at pH 7.4),"('3.1', 'ug/mL', '')",304.3940000000001,3.1,ug/mL,0.0031,CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,-4.96,0.0033376138403680886,0.00023761384036808872
49,C(CS)O,1567.0,"greater than or equal to 100 mg/mL at 68 °F (NTP, 1992)","('100', 'mg/mL', '')",78.136,100.0,mg/mL,100.0,OCCS,1.107191088,1000.0973182228086,900.0973182228086
50,CCCN1C2=C(C(=O)NC1=O)NC=N2,1676.0,>29.1 [ug/mL] (The mean of the results at pH 7.4),"('29.1', 'ug/mL', '')",194.194,29.1,ug/mL,0.0291,CCCn1c(=O)[nH]c(=O)c2[nH]cnc21,-2.209416624,1.1990000008577688,1.169900000857769
51,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCO,1892.0,>33.6 [ug/mL] (The mean of the results at pH 7.4),"('33.6', 'ug/mL', '')",224.22,33.6,ug/mL,0.0336,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,-0.450034164,79.55000004591737,79.51640004591736
52,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)C3CCCC3,1917.0,>37.2 [ug/mL] (The mean of the results at pH 7.4),"('37.2', 'ug/mL', '')",248.28599999999997,37.2,ug/mL,0.0372,Cn1c(=O)c2[nH]c(C3CCCC3)nc2n(C)c1=O,-2.664169956,0.5380000002418301,0.5008000002418301
53,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,1972.0,"In N,N-dimethylformamide 2-4 mg/ml, in N,N-dimethylformamide + hydrochloric acid 60-80 mg/ml, in dimethyl sulfoxide 30-40 mg/ml","('60', 'ml', '')",924.091000000001,60.0,ml,60.0,CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,-3.090653477,0.7500000002566658,-59.24999999974334
57,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,1981.0,>62.4 [ug/mL] (The mean of the results at pH 7.4),"('62.4', 'ug/mL', '')",415.8290000000003,62.4,ug/mL,0.0624,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,-5.094905185,0.0033420241883855145,-0.05905797581161448
58,CC(=O)NC1=C(C=CC(=C1)[As](=O)(O)O)O,1985.0,>41.3 [ug/mL] (The mean of the results at pH 7.4),"('41.3', 'ug/mL', '')",275.092,41.3,ug/mL,0.0413,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,-0.061261827,238.89999121366904,238.85869121366903
59,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,1988.0,"In water, 233 mg/L at 25 °C","('233', 'mg/L', '')",269.77199999999993,233.0,mg/L,0.233,CCOCN(C(=O)CCl)c1c(C)cccc1CC,-3.0827,0.22299589665024222,-0.010004103349757792
60,CC(=O)NC1=CC=C(C=C1)CC(=O)O,2018.0,>29 [ug/mL] (The mean of the results at pH 7.4),"('29', 'ug/mL', '')",193.202,29.0,ug/mL,0.029,CC(=O)Nc1ccc(CC(=O)O)cc1,-1.788943681,3.1410000033253938,3.112000003325394
61,C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O,2132.0,>56.7 [ug/mL] (The mean of the results at pH 7.4),"('56.7', 'ug/mL', '')",378.108,56.7,ug/mL,0.0567,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,-3.621207295,0.09045000001169423,0.03375000001169423
62,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,2145.0,>34.8 [ug/mL] (The mean of the results at pH 7.4),"('34.8', 'ug/mL', '')",232.283,34.8,ug/mL,0.0348,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,-1.969818079,2.490000001930089,2.455200001930089
63,CN1C2=C(C(=O)N(C1=O)C)NC=N2,2153.0,>27 [ug/mL] (The mean of the results at pH 7.4),"('27', 'ug/mL', '')",180.167,27.0,ug/mL,0.027,Cn1c(=O)c2[nH]cnc2n(C)c1=O,-1.4314399296666669,6.671681685972013,6.644681685972013
64,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O,2165.0,24.9 [ug/mL] (The mean of the results at pH 7.4),"('24.9', 'ug/mL', '')",355.8690000000001,24.9,ug/mL,0.0249,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,-5.79,0.0005771519375370252,-0.024322848062462973
65,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,2170.0,34.4 [ug/mL] (The mean of the results at pH 7.4),"('34.4', 'ug/mL', '')",313.788,34.4,ug/mL,0.0344,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,-4.088561893,0.02559024466345088,-0.008809755336549121
66,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],2265.0,>41.6 [ug/mL] (The mean of the results at pH 7.4),"('41.6', 'ug/mL', '')",277.26900000000006,41.6,ug/mL,0.0416,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,-3.1426142316666663,0.19965816918550083,0.15805816918550084
67,CC1(OC2=C(O1)C(=CC=C2)OC(=O)NC)C,2314.0,"In water, 260 mg/L at 25 °C","('260', 'mg/L', '')",223.228,260.0,mg/L,0.26,CNC(=O)Oc1cccc2c1OC(C)(C)O2,-2.9318896055000003,0.26113137932114516,0.001131379321145154
68,C1=CC=C(C=C1)CN=C=S,2346.0,0.109 mg/mL at 25 °C,"('0.109', 'mg/mL', '')",149.218,0.109,mg/mL,0.109,S=C=NCc1ccccc1,-3.1362485916666665,0.10903668091904928,3.668091904927839e-05
69,C1COC1=O,2365.0,"10 to 50 mg/mL at 66 °F (NTP, 1992)","('10', 'mg/mL', '')",72.06299999999999,10.0,mg/mL,10.0,O=C1CCO1,0.710753733,370.2252805931966,360.2252805931966
70,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,2378.0,0.7 [ug/mL] (The mean of the results at pH 7.4),"('0.7', 'ug/mL', '')",310.40000000000003,0.7,ug/mL,0.0007,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,-6.452507579,0.0001095000036332411,-0.0005904999963667589
71,C(C(CO)([N+](=O)[O-])Br)O,2450.0,"greater than or equal to 100 mg/mL at 63 °F (NTP, 1992)","('100', 'mg/mL', '')",199.988,100.0,mg/mL,100.0,O=[N+]([O-])C(Br)(CO)CO,0.0656525884333333,232.6250747258189,132.6250747258189
72,CCCCOC1=CC=C(C=C1)CC(=O)NO,2466.0,>33.5 [ug/mL] (The mean of the results at pH 7.4),"('33.5', 'ug/mL', '')",223.272,33.5,ug/mL,0.0335,CCCCOc1ccc(CC(=O)NO)cc1,-2.605716637,0.5535000005784272,0.5200000005784272
73,CCCCN(CCCC)CCCOC(=O)C1=CC=C(C=C1)N,2480.0,>46 [ug/mL] (The mean of the results at pH 7.4),"('46', 'ug/mL', '')",306.45,46.0,ug/mL,0.046,CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,-3.695019936,0.06184999796674116,0.015849997966741164
74,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,2554.0,>35.4 [ug/mL] (The mean of the results at pH 7.4),"('35.4', 'ug/mL', '')",236.274,35.4,ug/mL,0.0354,NC(=O)N1c2ccccc2C=Cc2ccccc21,-3.25442921275,0.13151846184413407,0.09611846184413407
75,CC(C1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl)C(=O)O,2581.0,>41.1 [ug/mL] (The mean of the results at pH 7.4),"('41.1', 'ug/mL', '')",273.719,41.1,ug/mL,0.0411,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,-4.70974543125,0.005340224481904077,-0.03575977551809592
76,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,2710.0,"1 G SOL IN ABOUT 2 ML H2O, 11 ML ALC; 1 G SOL IN ABOUT 4 ML CHLOROFORM; PRACTICALLY INSOL IN ETHER, BENZENE /CHLORCYCLIZINE HYDROCHLORIDE/","('11', ' M', '')",300.833,11.0, M,3309.163,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,-2.879202564,0.39730397543945456,-3308.7656960245604
77,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,2720.0,>44.4 [ug/mL] (The mean of the results at pH 7.4),"('44.4', 'ug/mL', '')",295.729,44.4,ug/mL,0.0444,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,-3.045999061,0.26600809543106646,0.22160809543106647
78,C1=CC2=C(C=C1Cl)NC(=O)O2,2733.0,>25.4 [ug/mL] (The mean of the results at pH 7.4),"('25.4', 'ug/mL', '')",169.56699999999998,25.4,ug/mL,0.0254,O=c1[nH]c2cc(Cl)ccc2o1,-2.755349966666667,0.29784572428462114,0.27244572428462116
79,C1CNP(=O)(OC1)N(CCCl)CCCl,2907.0,"10 to 50 mg/mL at 73 °F (NTP, 1992)","('10', 'mg/mL', '')",261.08899999999994,10.0,mg/mL,10.0,O=P1(N(CCCl)CCCl)NCCCO1,-0.8161122167499999,39.872765458099,29.872765458099003
80,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-],2952.0,Low (146 mg/L),"('146', 'mg/L', '')",314.25700000000006,146.0,mg/L,0.146,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,-3.333527422,0.145800004797451,-0.00019999520254898595
83,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3,2997.0,>40.6 [ug/mL] (The mean of the results at pH 7.4),"('40.6', 'ug/mL', '')",270.719,40.6,ug/mL,0.0406,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,-3.677020196,0.05695063110624979,0.01635063110624979
84,COP(=O)(OC)OC=C(Cl)Cl,3039.0,"10 to 50 mg/mL at 68 °F (NTP, 1992)","('10', 'mg/mL', '')",220.976,10.0,mg/mL,10.0,COP(=O)(OC)OC=C(Cl)Cl,-1.4088354369999998,8.620047737192392,-1.379952262807608
85,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,3059.0,Practically insoluble (14.5 mg/L) at neutral or acidic pH.,"('14.5', 'mg/L', '')",250.2,14.5,mg/L,0.0145,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,-4.392805164,0.010127031045491551,-0.004372968954508449
86,C(C(CS)S)O,3080.0,"10 to 50 mg/mL at 68 °F (NTP, 1992)","('10', 'mg/mL', '')",124.22999999999996,10.0,mg/mL,10.0,OCC(S)CS,-0.154776853,86.9860544186186,76.9860544186186
87,CNC(=O)CSP(=S)(OC)OC,3082.0,"1 to 10 mg/mL at 75 °F (NTP, 1992)","('10', 'mg/mL', '')",229.263,10.0,mg/mL,10.0,CNC(=O)CSP(=S)(OC)OC,-0.8873333333333333,29.716703951890096,19.716703951890096
88,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,3151.0,50.4 [ug/mL] (The mean of the results at pH 7.4),"('50.4', 'ug/mL', '')",425.9200000000002,50.4,ug/mL,0.0504,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,-5.635315931,0.0009863069713692018,-0.0494136930286308
89,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,3168.0,33.4 [ug/mL] (The mean of the results at pH 7.4),"('33.4', 'ug/mL', '')",379.43500000000006,33.4,ug/mL,0.0334,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,-4.95526812,0.004206000004077998,-0.029193999995922003
90,C1CN(CCN1CC(CO)O)C2=CC=CC=C2,3169.0,>35.4 [ug/mL] (The mean of the results at pH 7.4),"('35.4', 'ug/mL', '')",236.31500000000003,35.4,ug/mL,0.0354,OCC(O)CN1CCN(c2ccccc2)CC1,-0.082344527,195.50000019975698,195.46460019975697
91,CC1=CC(=NC(=N1)N2C(=CC(=N2)C)OC)OC,3242.0,>35.1 [ug/mL] (The mean of the results at pH 7.4),"('35.1', 'ug/mL', '')",234.259,35.1,ug/mL,0.0351,COc1cc(C)nc(-n2nc(C)cc2OC)n1,-1.985522146,2.4220000013354035,2.3869000013354036
92,C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C(=C4OC5=C(C(=C(C=C35)I)O)I)I)O)I,3259.0,0.7 mg/mL,"('0.7', 'mg/mL', '')",835.895,0.7,mg/mL,0.7,O=C1OC2(c3ccccc31)c1cc(I)c(O)c(I)c1Oc1c2cc(I)c(O)c1I,-3.077054711,0.6999983502233995,-1.6497766004430758e-06
93,C(CN)N,3301.0,"greater than or equal to 100 mg/mL at 63 °F (NTP, 1992)","('100', 'mg/mL', '')",60.09999999999999,100.0,mg/mL,100.0,NCCN,1.221112764,999.9706102420679,899.9706102420679
94,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3,3334.0,0.9 [ug/mL] (The mean of the results at pH 7.4),"('0.9', 'ug/mL', '')",299.355,0.9,ug/mL,0.0009,COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1,-7.47617433,1.0000280605692298e-05,-0.0008899997193943077
95,C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,3352.0,"In water, 1.9 mg/L (pH 5), 2.4 mg/L (pH 9), 1.9 mg/L (distilled), all at 20 °C","('1.9', 'mg/L', '')",437.152,1.9,mg/L,0.0019,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,-5.3619,0.0018999075546901408,-9.244530985923032e-08
96,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,3365.0,34.9 [ug/mL] (The mean of the results at pH 7.4),"('34.9', 'ug/mL', '')",306.276,34.9,ug/mL,0.0349,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,-1.796876624,4.889183557265005,4.8542835572650045
97,C1=NC(=O)NC(=C1F)N,3366.0,>19.4 [ug/mL] (The mean of the results at pH 7.4),"('19.4', 'ug/mL', '')",129.094,19.4,ug/mL,0.0194,Nc1[nH]c(=O)ncc1F,-0.993365671,13.108119341006235,13.088719341006236
98,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,3397.0,>41.4 [ug/mL] (The mean of the results at pH 7.4),"('41.4', 'ug/mL', '')",276.21399999999994,41.4,ug/mL,0.0414,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,-4.465769496,0.009450965790560761,-0.03194903420943924
99,C1C(COC1(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl)Br,3444.0,Acetone 32 g/100 ml; dichloromethane 50 g/100 ml; ethyl acetate 23 g/100 ml; n-hexane 0.2 g/100ml; MeOH 30 g/100 ml; 1-octanol 6 g/100 ml; 2-propanol 6 g/100 ml; toluene 22 g/100 ml; water (distilled) 61 mg/L; water (pH 5) 52 mg/L,"('32', 'mg/L', '')",377.069,32.0,mg/L,0.032,Clc1ccc(C2(Cn3cncn3)CC(Br)CO2)c(Cl)c1,-3.8774759885,0.04999710301219879,0.01799710301219879
